id,labels
http://dblp.l3s.de/d2r/resource/conferences/acs,systems concurrent analysis
http://dblp.l3s.de/d2r/resource/publications/conf/es/2013,systems enterprise
http://dblp.l3s.de/d2r/resource/publications/conf/euc/2006,ubiquitous computing embedded
http://dblp.l3s.de/d2r/resource/publications/conf/es/2014,systems enterprise
http://dblp.l3s.de/d2r/resource/publications/conf/euc/2004,ubiquitous computing embedded
http://dblp.l3s.de/d2r/resource/publications/conf/ruleml/2011-2,ruleml located
http://dblp.l3s.de/d2r/resource/publications/conf/ecbs/2009,based computer systems engineering
http://dblp.l3s.de/d2r/resource/publications/conf/es/2015,systems enterprise
http://dblp.l3s.de/d2r/resource/conferences/eiswt,technologies systems web enterprise information
http://dblp.l3s.de/d2r/resource/publications/conf/es/2016,systems enterprise
http://dblp.l3s.de/d2r/resource/publications/conf/euc/2007,ubiquitous computing embedded
http://dblp.l3s.de/d2r/resource/publications/conf/pepm/2002a,evaluation semantics-based program partial manipulation
http://dblp.l3s.de/d2r/resource/publications/conf/iccl/1998w,languages internet programming
http://dblp.l3s.de/d2r/resource/publications/conf/ecbs/2011,computer-based systems engineering
http://dblp.l3s.de/d2r/resource/publications/conf/ecbs/2010,computer-based systems engineering
http://dblp.l3s.de/d2r/resource/publications/conf/iui/2008cskgoi,interfaces sense goal-oriented knowledge
http://dblp.l3s.de/d2r/resource/publications/conf/hytra/2015,hybrid translation approaches
http://dblp.l3s.de/d2r/resource/publications/conf/hytra/2013,hybrid translation approaches
http://dblp.l3s.de/d2r/resource/conferences/acm,computer science perspective
http://dblp.l3s.de/d2r/resource/publications/conf/hytra/2014,hybrid machine translation approaches
http://dblp.l3s.de/d2r/resource/conferences/acl,software natural companion session language demo biomedical volume demonstrations system domain short processing tutorial
http://dblp.l3s.de/d2r/resource/publications/conf/ecbs/2013,based computer systems engineering
http://dblp.l3s.de/d2r/resource/publications/conf/ecbs/2012,computer-based systems sad engineering
http://dblp.l3s.de/d2r/resource/conferences/vldb,big data dbrank surveys
http://dblp.l3s.de/d2r/resource/publications/conf/coling/2004,linguistics computational
http://dblp.l3s.de/d2r/resource/publications/conf/cscwd/2008,design
http://dblp.l3s.de/d2r/resource/publications/conf/middleware/2011arm,adaptive reflective middleware
http://dblp.l3s.de/d2r/resource/publications/conf/cscwd/2009,work design computers supported cooperative
http://dblp.l3s.de/d2r/resource/publications/conf/cscwd/2006,design
http://dblp.l3s.de/d2r/resource/publications/conf/coling/2008,linguistics computational
http://dblp.l3s.de/d2r/resource/publications/conf/cscwd/2007,computer work design supported cooperative
http://dblp.l3s.de/d2r/resource/publications/conf/cscwd/2004,computer work design supported cooperative
http://dblp.l3s.de/d2r/resource/publications/conf/cscwd/2005,computer work design supported cooperative
http://dblp.l3s.de/d2r/resource/publications/conf/cscwd/2002,design
http://dblp.l3s.de/d2r/resource/publications/conf/cscwd/2001,computer work design supported cooperative
http://dblp.l3s.de/d2r/resource/publications/conf/coling/2000,linguistics volumes computational
http://dblp.l3s.de/d2r/resource/publications/conf/coling/2002,linguistics sinica house computational
http://dblp.l3s.de/d2r/resource/publications/conf/pldi/2007,design implementation language programming
http://dblp.l3s.de/d2r/resource/publications/conf/pldi/2008,design implementation language programming
http://dblp.l3s.de/d2r/resource/conferences/adc,database
http://dblp.l3s.de/d2r/resource/publications/conf/pldi/2009,design implementation language programming
http://dblp.l3s.de/d2r/resource/publications/conf/pldi/2003,design implementation language programming
http://dblp.l3s.de/d2r/resource/publications/conf/pldi/2004,design implementation language programming
http://dblp.l3s.de/d2r/resource/publications/conf/pldi/2005,design implementation language programming
http://dblp.l3s.de/d2r/resource/publications/conf/pldi/2006,design implementation language programming
http://dblp.l3s.de/d2r/resource/publications/conf/pldi/2000,design implementation language programming
http://dblp.l3s.de/d2r/resource/publications/conf/pldi/2001,snowbird design implementation language programming
http://dblp.l3s.de/d2r/resource/publications/conf/pldi/2002,design implementation language programming
http://dblp.l3s.de/d2r/resource/conferences/adg,automated deduction geometry
http://dblp.l3s.de/d2r/resource/conferences/storagess,storagess
http://dblp.l3s.de/d2r/resource/publications/conf/coling/2016,linguistics technical computational
http://dblp.l3s.de/d2r/resource/publications/conf/vsl/2014kr4hc,health logic representation knowledge care
http://dblp.l3s.de/d2r/resource/publications/conf/cscwd/2015,computer work design supported cooperative
http://dblp.l3s.de/d2r/resource/conferences/aes,candidate
http://dblp.l3s.de/d2r/resource/publications/conf/cscwd/2016,computer work design supported cooperative
http://dblp.l3s.de/d2r/resource/publications/conf/mobicom/2002wsna,wireless sensor networks
http://dblp.l3s.de/d2r/resource/publications/conf/cscwd/2013,computer work design whistler supported cooperative
http://dblp.l3s.de/d2r/resource/publications/conf/cscwd/2014,computer work design supported cooperative
http://dblp.l3s.de/d2r/resource/publications/conf/cscwd/2011,computer work design supported cooperative
